Tipster,Horse,Bet Type,Odds,Result,TipsterActive
Tipster A,Melvin The Grate,Win,3.75,Lose,TRUE
Tipster A,Mr Pickwick,Each Way,4,Lose,TRUE
Tipster A,Green Light,Each Way,5,Lose,TRUE
Tipster A,Chester Street,Win,2.88,Win,TRUE
Tipster A,Mighty Leader,Each Way,5,Lose,TRUE
Tipster A,Ballybane,Each Way,4.5,Lose,TRUE
Tipster A,Hawksmoor,Each Way,26,Win,TRUE
Tipster A,Promising Run,Win,7,Lose,TRUE
Tipster A,Keep In Line,Each Way,12,Lose,TRUE
Tipster A,Order Of Service,Each Way,17,Lose,TRUE
Tipster A,Glass House,Win,6,Lose,TRUE
Tipster A,Arabian Illusion,Win,6,Lose,TRUE
Tipster A,Beacon Rock,Win,4.33,Lose,TRUE
Tipster A,Bayan,Each Way,15,Lose,TRUE
Tipster A,Heartbreak City,Each Way,10,Lose,TRUE
Tipster A,Dexcite,Each Way,9,Win,TRUE
Tipster A,Sausalito Sunrise,Win,4.5,Lose,TRUE
Tipster A,Fort Del Oro,Each Way,5.5,Win,TRUE
Tipster A,Mias Anthem,Win,3.5,Win,TRUE
Tipster A,Mobsta,Win,5.5,Lose,TRUE
Tipster A,Verano,Win,2.88,Lose,TRUE
Tipster A,Seychelloise,Win,3,Lose,TRUE
Tipster A,Our Thomas,Win,2.38,Win,TRUE
Tipster A,Lahayeb,Each Way,9,Win,TRUE
Tipster A,Frederika,Each Way,9,Win,TRUE
Tipster A,Beatabout The Bush,Each Way,11,Lose,TRUE
Tipster A,Tennessee Bird,Win,4,Lose,TRUE
Tipster A,Force,Win,2.88,Lose,TRUE
Tipster A,Kingscroft,Each Way,11,Lose,TRUE
Tipster A,Dry Ol Party,Each Way,7.5,Win,TRUE
Tipster A,Mitchum Swagger,Win,2.5,Lose,TRUE
Tipster A,Knock House,Win,2.38,Lose,TRUE
Tipster A,Flying Officer,Each Way,8,Win,TRUE
Tipster A,Fort Del Oro,Each Way,26,Lose,TRUE
Tipster A,The Tin Man,Each Way,9,Lose,TRUE
