Tipster,Horse,Bet Type,Odds,Result,TipsterActive
Tipster E,Woodacre,Win,7,Lose,TRUE
Tipster E,Playhara,Win,6,Lose,TRUE
Tipster E,Captain Revelation,Win,2.88,Lose,TRUE
Tipster E,Shillito,Win,5,Lose,TRUE
Tipster E,Little Shambles,Win,3,Win,TRUE
Tipster E,Commandaria,Win,2.75,Lose,TRUE
Tipster E,Sir Frank Morgan,Win,5,Lose,TRUE
Tipster E,No Likey,Win,3.75,Lose,TRUE
Tipster E,Bold,Win,2.75,Lose,TRUE
Tipster E,Tides Reach,Win,7.5,Lose,TRUE
Tipster E,Johnny Splash,Win,6,Lose,TRUE
Tipster E,Saborido,Win,4.5,Win,TRUE
Tipster E,Tychaios,Win,5,Lose,TRUE
Tipster E,Felix De Vega,Win,11,Lose,TRUE
Tipster E,Never Never,Win,2.67,Lose,TRUE
Tipster E,Basem,Win,5.5,Win,TRUE
Tipster E,Tagula Night,Win,11,Lose,TRUE
Tipster E,Aktabantay,Win,3,Win,TRUE
Tipster E,Pull The Pin,Win,2.75,Lose,TRUE
Tipster E,Kiama Bay,Win,3,Win,TRUE
Tipster E,Springinherstep,Win,3,Lose,TRUE
Tipster E,Fairyinthewind,Win,3.25,Win,TRUE
Tipster E,Able Deputy,Win,6.5,Win,TRUE
Tipster E,Nufooth,Win,2.75,Lose,TRUE
Tipster E,Pure Style,Win,6.5,Lose,TRUE
Tipster E,Motou,Win,4.33,Lose,TRUE
Tipster E,Scoppio Del Carro,Win,4.33,Win,TRUE
Tipster E,Just Isla,Win,3,Lose,TRUE
Tipster E,Fingals Cave,Win,2.25,Win,TRUE
Tipster E,Fractal,Win,5,Win,TRUE
Tipster E,Freddy With A Y,Win,3.75,Lose,TRUE
Tipster E,George Bowen,Win,5.5,Lose,TRUE
Tipster E,Legal Waves,Win,3.75,Win,TRUE
Tipster E,Step To The Shears,Win,10,Lose,TRUE
Tipster E,Jacob Black,Win,5,Win,TRUE
Tipster E,Last Minute Lisa,Win,4,Win,TRUE
Tipster E,Rolling Maul,Win,3.25,Lose,TRUE
Tipster E,Whaleweigh Station,Win,4,Win,TRUE
Tipster E,Cape Summit,Win,8,Lose,TRUE
Tipster E,Exceedexpectations,Win,7,Lose,TRUE
Tipster E,Anjin,Win,8.5,Lose,TRUE
Tipster E,Tom Hark,Win,2.1,Win,TRUE
Tipster E,Hostile Fire,Win,7,Lose,TRUE
Tipster E,Maid In Rio,Win,3,Lose,TRUE
Tipster E,Lady Moscou,Win,2.75,Lose,TRUE
Tipster E,Charlottes Day,Win,9,Win,TRUE
Tipster E,William Hogarth,Win,3.5,Lose,TRUE
Tipster E,Kommander Kirkup,Win,5,Lose,TRUE
Tipster E,Free Rein,Win,4.33,Lose,TRUE
Tipster E,Master Bond,Win,9,Lose,TRUE
Tipster E,Royal Brave,Win,5,Lose,TRUE
Tipster E,Havana Cooler,Win,6,Lose,TRUE
Tipster E,Extremity,Win,3.75,Win,TRUE
Tipster E,Ittirad,Win,3.25,Win,TRUE
Tipster E,Foxy Forever,Win,7,Lose,TRUE
Tipster E,Bint Malyana,Win,7,Lose,TRUE
Tipster E,Cosmic Halo,Win,9,Win,TRUE
Tipster E,Ladfromhighworth,Win,2.75,Win,TRUE
Tipster E,Naadirr,Win,4.5,Win,TRUE
Tipster E,Accessallareas,Win,2.75,Lose,TRUE
Tipster E,Amazing Dazy,Win,5,Lose,TRUE
Tipster E,Miss Brazil,Win,6,Lose,TRUE
Tipster E,Solway Dornal,Win,4.33,Win,TRUE
Tipster E,Provincial Pride,Win,6,Lose,TRUE
Tipster E,Bishop Wulstan,Win,4.33,Lose,TRUE
Tipster E,Accessallareas,Win,2.5,Win,TRUE
Tipster E,Almuheet,Win,5.5,Lose,TRUE
Tipster E,Sunblazer,Win,5.5,Lose,TRUE
Tipster E,Bajan Blu,Win,3.75,Lose,TRUE
Tipster E,Ela Goog La Mou,Win,4,Lose,TRUE
Tipster E,Online Alexander,Win,10,Lose,TRUE
Tipster E,Clon Brulee,Win,3,Win,TRUE
Tipster E,Sir Frank Morgan,Win,3,Lose,TRUE
Tipster E,Stybba,Win,12,Lose,TRUE
Tipster E,Arabian Comet,Win,5,Lose,TRUE
Tipster E,Last Minute Lisa,Win,3.75,Lose,TRUE
Tipster E,Lynngale,Win,7,Lose,TRUE
Tipster E,Mission Approved,Win,8.5,Lose,TRUE
Tipster E,Reaffirmed,Win,15,Win,TRUE
Tipster E,Adventure Seeker,Win,6,Lose,TRUE
Tipster E,Estimate,Win,2.5,Win,TRUE
Tipster E,Huntsmans Close,Win,13,Lose,TRUE
Tipster E,Elite Gardens,Win,4,Win,TRUE
Tipster E,Perfect Muse,Win,7,Win,TRUE
Tipster E,Intrinsic,Win,7.5,Lose,TRUE
Tipster E,Fire Fighting,Win,3.5,Win,TRUE
Tipster E,Mount Logan,Win,4,Win,TRUE
Tipster E,Picks Pinta,Win,3.5,Lose,TRUE
Tipster E,Doctor Sardonicus,Win,6.5,Lose,TRUE
Tipster E,National Service,Win,10,Lose,TRUE
Tipster E,Stepper Point,Win,5,Win,TRUE
Tipster E,Perfect Cracker,Win,7,Lose,TRUE
Tipster E,Tenor,Win,5,Win,TRUE
Tipster E,Swan Lakes,Win,3.75,Lose,TRUE
Tipster E,Merchant Of Dubai,Win,4.5,Win,TRUE
Tipster E,Mindurownbusiness,Win,5.5,Lose,TRUE
Tipster E,Khawaater,Win,5,Lose,TRUE
Tipster E,Lady Moscou,Win,3.25,Lose,TRUE
Tipster E,Kinshasa,Win,3.25,Lose,TRUE
Tipster E,New Tarabela,Win,4.5,Lose,TRUE
Tipster E,Meetings Man,Win,5,Win,TRUE
Tipster E,Refuse Colette,Win,4.5,Win,TRUE
Tipster E,Water Hole,Win,4,Lose,TRUE
Tipster E,Speed Hawk,Win,5.6,Win,TRUE
Tipster E,Lovelocks,Win,4.5,Lose,TRUE
Tipster E,Mia San Tiple,Win,4.5,Lose,TRUE
Tipster E,Rise To Glory,Win,9,Lose,TRUE
Tipster E,Almuheet,Win,6,Lose,TRUE
Tipster E,Last Minute Lisa,Win,4.33,Lose,TRUE
Tipster E,Cape Summit,Win,3.25,Lose,TRUE
Tipster E,Artful Rogue,Win,5,Win,TRUE
Tipster E,Pea Shooter,Win,7,Lose,TRUE
Tipster E,Al Fareej,Win,7,Lose,TRUE
Tipster E,Maoi Chinn Tire,Win,9,Lose,TRUE
Tipster E,Mccarthy Mor,Win,17,Lose,TRUE
Tipster E,The Snappy Poet,Win,4.33,Lose,TRUE
Tipster E,Hillstar,Win,4,Win,TRUE
Tipster E,Ainippe,Win,4.5,Lose,TRUE
Tipster E,Baitha Alga,Win,9,Lose,TRUE
Tipster E,Flash Fire,Win,2.75,Win,TRUE
Tipster E,Tinseltown,Win,15,Lose,TRUE
Tipster E,Dominic Cork,Win,6,Lose,TRUE
Tipster E,Cash For Steel,Win,4,Lose,TRUE
Tipster E,Munfallet,Win,4.5,Win,TRUE
Tipster E,Chant,Win,3.75,Lose,TRUE
Tipster E,Isthereadifference,Win,5,Lose,TRUE
Tipster E,Landing Night,Win,3.75,Lose,TRUE
Tipster E,White Vin Jan,Win,8.5,Lose,TRUE
Tipster E,Classic Villager,Win,3.75,Lose,TRUE
Tipster E,Zanouska,Win,3,Lose,TRUE
Tipster E,Bombardment,Win,5.5,Lose,TRUE
Tipster E,Bnedel,Win,5.5,Win,TRUE
Tipster E,Green Door,Win,3.75,Lose,TRUE
Tipster E,Hesbaan,Win,4,Lose,TRUE
Tipster E,Dr Irv,Win,8,Lose,TRUE
Tipster E,Rowlestone Lass,Win,6,Lose,TRUE
Tipster E,Ya Hade Ye Delil,Win,7,Lose,TRUE
Tipster E,Serena Grae,Win,7,Win,TRUE
Tipster E,Chocamoca,Win,11,Lose,TRUE
Tipster E,Framley Garth,Win,6.5,Lose,TRUE
Tipster E,High Tone,Win,6.5,Lose,TRUE
Tipster E,Lady Moscou,Win,7,Lose,TRUE
Tipster E,Maftool,Win,6.5,Win,TRUE
Tipster E,Master The World,Win,6,Lose,TRUE
Tipster E,Gold Chain,Win,6,Win,TRUE
Tipster E,Sequined,Win,12,Lose,TRUE
Tipster E,Merchant Of Milan,Win,3.5,Lose,TRUE
Tipster E,Nearest The Pin,Win,6,Win,TRUE
Tipster E,Tullius,Win,6.5,Lose,TRUE
Tipster E,Profitable,Win,3.75,Lose,TRUE
Tipster E,Windshear,Win,2.75,Lose,TRUE
Tipster E,Emirates Skywards,Win,2.5,Lose,TRUE
Tipster E,Long Wave,Win,4.5,Win,TRUE
Tipster E,Cornrow,Win,8.5,Lose,TRUE
Tipster E,Major Ivan,Win,6.5,Lose,TRUE
Tipster E,Qualify,Win,3.5,Win,TRUE
Tipster E,Marshall Jennings,Win,3.5,Lose,TRUE
Tipster E,Whos That Chick,Win,5,Lose,TRUE
Tipster E,Hidden Gold,Win,6,Win,TRUE
Tipster E,Tectonic,Win,3.75,Lose,TRUE
Tipster E,Avenue Du Monde,Win,4.33,Lose,TRUE
Tipster E,White Vin Jan,Win,2.88,Lose,TRUE
Tipster E,Amuse Me,Win,8,Lose,TRUE
Tipster E,Song Light,Win,7,Lose,TRUE
Tipster E,Secret City,Win,2.88,Lose,TRUE
Tipster E,Weybridge Light,Win,12,Lose,TRUE
Tipster E,Jewellery,Win,2.75,Lose,TRUE
Tipster E,Ethelwyn,Win,5.5,Lose,TRUE
Tipster E,National Service,Win,5,Lose,TRUE
Tipster E,No Win No Fee,Win,8,Lose,TRUE
Tipster E,Alex Vino,Win,6.5,Lose,TRUE
Tipster E,Generalyse,Win,13,Lose,TRUE
Tipster E,Panther Patrol,Win,7,Lose,TRUE
Tipster E,Captain Scooby,Win,6,Lose,TRUE
Tipster E,Tidal Way,Win,3,Lose,TRUE
Tipster E,Prince Of Paris,Win,13,Lose,TRUE
Tipster E,Moonfaarid,Win,7.5,Lose,TRUE
Tipster E,Never To Be,Win,5.5,Lose,TRUE
Tipster E,Oxsana,Win,6,Lose,TRUE
Tipster E,Hallings Wish,Win,6.5,Lose,TRUE
Tipster E,Outback Traveller,Win,8,Win,TRUE
Tipster E,Toledo Gold,Win,6,Win,TRUE
Tipster E,Fire Fighter,Win,5.5,Lose,TRUE
Tipster E,Parish Hall,Win,5.5,Lose,TRUE
Tipster E,Mattmu,Win,8.5,Lose,TRUE
Tipster E,Integral,Win,4.5,Win,TRUE
Tipster E,The Nephew,Win,3.75,Win,TRUE
Tipster E,Almuheet,Win,10,Lose,TRUE
Tipster E,Brendan Brackan,Win,4.33,Lose,TRUE
Tipster E,Minella Present,Win,2.75,Win,TRUE
Tipster E,Lysino,Win,2.5,Lose,TRUE
Tipster E,Torran Sound,Win,4.33,Lose,TRUE
Tipster E,Burnt Sienna,Win,8,Win,TRUE
Tipster E,Oceanographer,Win,2.5,Win,TRUE
Tipster E,Russian Heroine,Win,7,Lose,TRUE
Tipster E,Top Of The Glas,Win,9,Lose,TRUE
Tipster E,Thunder Pass,Win,6,Win,TRUE
Tipster E,Stone Roses,Win,17,Lose,TRUE
Tipster E,Frozen Princess,Win,6,Lose,TRUE
Tipster E,Vegas Rebel,Win,3.25,Win,TRUE
Tipster E,Disavow,Win,9,Lose,TRUE
Tipster E,Stybba,Win,8,Lose,TRUE
Tipster E,King Calypso,Win,6.5,Win,TRUE
Tipster E,Dark Spirit,Win,7.5,Win,TRUE
Tipster E,Just The Tip,Win,5.5,Win,TRUE
Tipster E,King Of Paradise,Win,8,Lose,TRUE
Tipster E,Gold Will,Win,3.75,Lose,TRUE
Tipster E,Jazz Master,Win,6,Lose,TRUE
Tipster E,Harrisons Cave,Win,4,Lose,TRUE
Tipster E,Trixie Malone,Win,6,Lose,TRUE
Tipster E,Simple Elegance,Win,6,Lose,TRUE
Tipster E,Rioja Day,Win,6.5,Lose,TRUE
Tipster E,Framley Garth,Win,4.5,Lose,TRUE
Tipster E,Showstoppa,Win,12,Lose,TRUE
Tipster E,Nafaath,Win,5,Lose,TRUE
Tipster E,Uncle Jimmy,Win,6,Win,TRUE
Tipster E,Esteaming,Win,6,Lose,TRUE
Tipster E,Ashkari,Win,7,Lose,TRUE
Tipster E,First Flight,Win,4.5,Lose,TRUE
Tipster E,Provenance,Win,6,Lose,TRUE
Tipster E,Conneticut,Win,12,Lose,TRUE
Tipster E,White Vin Jan,Win,7.5,Lose,TRUE
Tipster E,Anjin,Win,4.5,Lose,TRUE
Tipster E,Intruder,Win,4,Lose,TRUE
Tipster E,Mister Grez,Win,3,Lose,TRUE
Tipster E,Together Forever,Win,2.88,Win,TRUE
Tipster E,Keel Haul,Win,4.5,Lose,TRUE
Tipster E,Chevallier,Win,2.88,Lose,TRUE
Tipster E,Muwalla,Win,4.5,Win,TRUE
Tipster E,Gleese The Devil,Win,4.33,Lose,TRUE
Tipster E,Milgen Bay,Win,5.5,Win,TRUE
Tipster E,Gioia Di Vita,Win,12,Lose,TRUE
Tipster E,Cape Of Hope,Win,3.75,Lose,TRUE
Tipster E,Hesbaan,Win,4.5,Lose,TRUE
Tipster E,Meteoroid,Win,5,Lose,TRUE
Tipster E,Russian Heroine,Win,4.5,Lose,TRUE
Tipster E,Alderbrook Lad,Win,8,Lose,TRUE
Tipster E,Bartack,Win,11,Lose,TRUE
Tipster E,Surrey Pink,Win,7,Lose,TRUE
Tipster E,Division Belle,Win,6,Lose,TRUE
Tipster E,Stybba,Win,4.5,Lose,TRUE
Tipster E,Gigawatt,Win,6,Lose,TRUE
Tipster E,Escalating,Win,10,Lose,TRUE
Tipster E,Almuheetet,Win,8,Lose,TRUE
Tipster E,My Dream Boat,Win,3.75,Lose,TRUE
Tipster E,Rite To Reign,Win,4,Lose,TRUE
Tipster E,Namely,Win,4,Lose,TRUE
Tipster E,Leading Light,Win,3.5,Lose,TRUE
Tipster E,Carlito Brigante,Win,7.5,Win,TRUE
Tipster E,Night Of Thunder,Win,4,Lose,TRUE
Tipster E,Cirrus Des Aigles,Win,2.68,Lose,TRUE
Tipster E,Zinnobar,Win,3.75,Lose,TRUE
Tipster E,Hunt,Win,3.75,Lose,TRUE
Tipster E,Bikini Island,Win,6,Lose,TRUE
Tipster E,Parlour Games,Win,3.25,Lose,TRUE
Tipster E,Lots Of Memories,Win,4.5,Lose,TRUE
Tipster E,Joe Packet,Win,9,Lose,TRUE
Tipster E,Constantine,Win,9,Lose,TRUE
Tipster E,Spindle,Win,6.5,Lose,TRUE
Tipster E,Mutafaakir,Win,12,Lose,TRUE
Tipster E,Saint Helena,Win,4.5,Lose,TRUE
Tipster E,Lunar Spirit,Win,4.5,Lose,TRUE
Tipster E,Lyfka,Win,4,Win,TRUE
Tipster E,National Service,Win,9,Lose,TRUE
Tipster E,Best Kept,Win,11,Lose,TRUE
Tipster E,Lovelocks,Win,15,Lose,TRUE
Tipster E,Meteoroid,Win,6,Lose,TRUE
Tipster E,Pamona,Win,2.88,Win,TRUE
Tipster E,Triumphant,Win,4,Lose,TRUE
Tipster E,No Poppy,Win,6,Lose,TRUE
Tipster E,Cape Summit,Win,11,Lose,TRUE
Tipster E,Exchequer,Win,3.75,Lose,TRUE
Tipster E,Magna Cartor,Win,5,Win,TRUE
Tipster E,Powerful Action,Win,4.5,Win,TRUE
Tipster E,Honey Required,Win,5.5,Lose,TRUE
Tipster E,Forres,Win,5.5,Lose,TRUE
Tipster E,Galactic Halo,Win,4.5,Lose,TRUE
Tipster E,Stec,Win,13,Win,TRUE
Tipster E,Star Of Seville,Win,4.33,Win,TRUE
Tipster E,Firmament,Win,3.75,Win,TRUE
Tipster E,Top Of The Glas,Win,7,Lose,TRUE
Tipster E,Sunblazer,Win,9,Lose,TRUE
Tipster E,Get Home Now,Win,9.5,Lose,TRUE
Tipster E,Uxizandre,Win,5,Lose,TRUE
Tipster E,Steps,Win,15,Lose,TRUE
Tipster E,Lunique,Win,17,Lose,TRUE
Tipster E,Valdez,Win,6,Lose,TRUE
Tipster E,Mr Burgees,Win,8,Lose,TRUE
Tipster E,Ashes House,Win,8.5,Lose,TRUE
Tipster E,Earthmoves,Win,3.25,Lose,TRUE
Tipster E,Dineur,Win,10,Lose,TRUE
Tipster E,Especial,Win,2.75,Lose,TRUE
Tipster E,La Tinta Bay,Win,4,Lose,TRUE
Tipster E,Degooch,Win,3.25,Lose,TRUE
Tipster E,Trendsetter,Win,7.5,Win,TRUE
Tipster E,Fattsota,Win,4.5,Lose,TRUE
Tipster E,Searching,Win,4,Lose,TRUE
Tipster E,Gran Canaria Queen,Win,13,Lose,TRUE
Tipster E,Solo Hunter,Win,6,Lose,TRUE
Tipster E,Little Jimmy,Win,4.5,Lose,TRUE
Tipster E,Evanescent,Win,8,Win,TRUE
Tipster E,Dunlough Bay,Win,4.5,Lose,TRUE
Tipster E,Ambitious Icarus,Win,11,Lose,TRUE
Tipster E,Al,Win,17,Lose,TRUE
Tipster E,Cash For Steel,Win,6,Lose,TRUE
Tipster E,Devon Drum,Win,8,Lose,TRUE
Tipster E,Sendiym,Win,6.5,Lose,TRUE
Tipster E,Royale Knight,Win,5.5,Win,TRUE
Tipster E,Khusoosy,Win,8,Win,TRUE
Tipster E,Tigers Tale,Win,12,Lose,TRUE
Tipster E,Ventura Quest,Win,6.5,Lose,TRUE
Tipster E,Bishop Wulstan,Win,4.5,Lose,TRUE
Tipster E,Dame Lucy,Win,3.75,Lose,TRUE
Tipster E,Rite To Reign,Win,6.5,Win,TRUE
Tipster E,Hallings Comet,Win,13,Lose,TRUE
Tipster E,Bonne Fee,Win,8,Lose,TRUE
Tipster E,Mountain King,Win,6.5,Lose,TRUE
Tipster E,Taquin Du Seuil,Win,5,Lose,TRUE
Tipster E,Scottish Glen,Win,7.5,Lose,TRUE
Tipster E,Gladstone,Win,5.5,Lose,TRUE
Tipster E,Straidnahanna,Win,7,Lose,TRUE
Tipster E,Orange Nassau,Win,8,Lose,TRUE
Tipster E,The Crafty Butcher,Win,8.5,Lose,TRUE
Tipster E,Many Clouds,Win,4.5,Win,TRUE
Tipster E,Logans Lad,Win,3.75,Lose,TRUE
Tipster E,Noble Friend,Win,5,Lose,TRUE
Tipster E,Kodafine,Win,6.5,Lose,TRUE
Tipster E,Bears Affair,Win,5,Lose,TRUE
Tipster E,Harrisons Cave,Win,13,Lose,TRUE
Tipster E,Jollyallan,Win,3.25,Win,TRUE
Tipster E,Breakable,Win,5.5,Lose,TRUE
Tipster E,Penelope Pitstop,Win,6,Lose,TRUE
Tipster E,Carraig Mor,Win,3,Lose,TRUE
Tipster E,Solstice Son,Win,6.5,Lose,TRUE
Tipster E,Fibre Optic,Win,6,Lose,TRUE
Tipster E,Arzal,Win,5.5,Lose,TRUE
Tipster E,Stybba,Win,8,Win,TRUE
Tipster E,Mr Maynard,Win,5.5,Lose,TRUE
Tipster E,Chestnut Ben,Win,3.25,Lose,TRUE
Tipster E,Star Presenter,Win,3.5,Lose,TRUE
Tipster E,Pass Muster,Win,5.5,Lose,TRUE
Tipster E,The Green Ogre,Win,4,Lose,TRUE
Tipster E,Midnight Belle,Win,8,Lose,TRUE
Tipster E,Snuker,Win,3.75,Lose,TRUE
Tipster E,Jan Van Hoof,Win,3.5,Win,TRUE
Tipster E,Last Minute Lisa,Win,8,Lose,TRUE
Tipster E,Bincombe,Win,3.5,Lose,TRUE
Tipster E,Brother Scott,Win,2.75,Lose,TRUE
Tipster E,Sirius Prospect,Win,19,Lose,TRUE
Tipster E,Jack Dexter,Win,3.5,Lose,TRUE
Tipster E,Deadly Move,Win,3.25,Lose,TRUE
Tipster E,Andiamu,Win,3.5,Win,TRUE
Tipster E,Olympian Boy,Win,4.33,Lose,TRUE
Tipster E,Henri Parry Morgan,Win,6,Lose,TRUE
Tipster E,Gilgamboa,Win,2.75,Win,TRUE
Tipster E,Fuse Wire,Win,4.5,Lose,TRUE
Tipster E,Kings Odyssey,Win,4,Lose,TRUE
Tipster E,Mickie,Win,3.25,Lose,TRUE
Tipster E,Pathway To Honour,Win,5,Lose,TRUE
Tipster E,Shouldavboughtgold,Win,3.75,Win,TRUE
Tipster E,Larghetto,Win,4,Win,TRUE
Tipster E,Volnay De Thaix,Win,3.5,Win,TRUE
Tipster E,Alderbrook Lad,Win,6.5,Lose,TRUE
Tipster E,My Wigwam Or Yours,Win,4.5,Lose,TRUE
Tipster E,Runswick Days,Win,2.5,Win,TRUE
Tipster E,Tethra,Win,7.5,Lose,TRUE
Tipster E,Dormello Mo,Win,6,Win,TRUE
Tipster E,Top Of The Glas,Win,7,Lose,TRUE
Tipster E,Cyrus Darius,Win,3.25,Lose,TRUE
Tipster E,Synonym,Win,4.33,Win,TRUE
Tipster E,Absolute Champion,Win,2.75,Win,TRUE
Tipster E,Royal Marskell,Win,4.33,Lose,TRUE
Tipster E,Meadway,Win,3.75,Win,TRUE
Tipster E,Gorsky Island,Win,7,Win,TRUE
Tipster E,Champagne Fever,Win,2,Win,TRUE
Tipster E,Monsier Jamie,Win,9,Lose,TRUE
Tipster E,Broadway Buffalo,Win,5,Lose,TRUE
Tipster E,Categorical,Win,5,Win,TRUE
Tipster E,Heisman,Win,3,Win,TRUE
Tipster E,Seamster,Win,7,Lose,TRUE
Tipster E,Uncle Junior,Win,8,Lose,TRUE
Tipster E,Natural Nine,Win,3.25,Lose,TRUE
Tipster E,Muzaahim,Win,4,Lose,TRUE
Tipster E,Big Baz,Win,3.5,Win,TRUE
Tipster E,Lamb Or Cod,Win,13,Lose,TRUE
Tipster E,Katkeau,Win,5.5,Win,TRUE
Tipster E,Emerging Talent,Win,2.63,Lose,TRUE
Tipster E,Lots Of Memories,Win,6,Lose,TRUE
Tipster E,Uxizandre,Win,3.5,Win,TRUE
Tipster E,Lord Of House,Win,9,Lose,TRUE
Tipster E,Vaniteux,Win,5.5,Lose,TRUE
Tipster E,Kings Apollo,Win,7,Lose,TRUE
Tipster E,Thomas Crapper,Win,2.88,Lose,TRUE
Tipster E,Little Jimmy,Win,3.25,Lose,TRUE
Tipster E,Stow,Win,11,Lose,TRUE
Tipster E,First Experience,Win,5,Lose,TRUE
Tipster E,Carli King,Win,3.5,Lose,TRUE
Tipster E,Mardood,Win,21,Lose,TRUE
Tipster E,Musical Molly,Win,4,Lose,TRUE
Tipster E,Tea Caddy,Win,4,Lose,TRUE
Tipster E,Hell Cat Maggie,Win,3,Lose,TRUE
Tipster E,Free Of Charge,Win,5.5,Lose,TRUE
Tipster E,Snuker,Win,3.75,Win,TRUE
Tipster E,Dun To Perfection,Win,4.5,Lose,TRUE
Tipster E,Risk A Fine,Win,5.5,Lose,TRUE
Tipster E,Leonard Thomas,Win,3,Lose,TRUE
Tipster E,Aerlite Supreme,Win,2.75,Win,TRUE
Tipster E,Aristocracy,Win,4.5,Win,TRUE
Tipster E,Trickaway,Win,3.5,Win,TRUE
Tipster E,Glorious Sun,Win,6,Lose,TRUE
Tipster E,Olivers Mount,Win,4.5,Win,TRUE
Tipster E,Scorpiancer,Win,7,Lose,TRUE
Tipster E,Brock Again,Win,2.75,Lose,TRUE
Tipster E,Clondaw Banker,Win,2.5,Lose,TRUE
Tipster E,Ballinvarrig,Win,4,Lose,TRUE
Tipster E,Les Gar Gan,Win,8,Lose,TRUE
Tipster E,Vasco Du Ronceray,Win,4.33,Win,TRUE
Tipster E,Fletchers Flyer,Win,2.75,Win,TRUE
Tipster E,Dawalan,Win,5.5,Lose,TRUE
Tipster E,Taquin Du Seuil,Win,6,Lose,TRUE
Tipster E,Brick Red,Win,5.5,Lose,TRUE
Tipster E,Obistar,Win,3.25,Lose,TRUE
Tipster E,Roll The Dice,Win,5.5,Lose,TRUE
Tipster E,Union Jack D’ycy,Win,3.25,Win,TRUE
Tipster E,Highland Retreat,Win,2.25,Lose,TRUE
Tipster E,Gallant Oscar,Win,3.25,Lose,TRUE
Tipster E,Mister Snowball,Win,5.5,Lose,TRUE
Tipster E,Last Shot,Win,6,Lose,TRUE
Tipster E,Off Shore,Win,3.75,Lose,TRUE
Tipster E,New Horizons,Win,4.33,Lose,TRUE
Tipster E,Germany Calling,Win,4.5,Lose,TRUE
Tipster E,The Green Ogre,Win,2.1,Lose,TRUE
Tipster E,Whispering Star,Win,2.75,Lose,TRUE
Tipster E,Spindle,Win,3,Lose,TRUE
Tipster E,Midnight Streaker,Win,5,Lose,TRUE
Tipster E,Royal Marskell,Win,10,Lose,TRUE
Tipster E,Sego Success,Win,4.5,Win,TRUE
Tipster E,Lightentertainment,Win,3.5,Win,TRUE
Tipster E,Tresor De Bontee,Win,3,Lose,TRUE
Tipster E,Top Of The Glas,Win,2.25,Lose,TRUE
Tipster E,Secret Glance,Win,2.1,Lose,TRUE
Tipster E,Spookydooky,Win,5.5,Lose,TRUE
Tipster E,Carraig Mor,Win,3.5,Win,TRUE
Tipster E,Lami Serge,Win,3.75,Win,TRUE
Tipster E,Plucky Dip,Win,3,Lose,TRUE
Tipster E,Fergal Mael Duin,Win,5,Lose,TRUE
Tipster E,Knocklayde Sno Cat,Win,2.62,Lose,TRUE
Tipster E,Billy Cuckoo,Win,9,Lose,TRUE
Tipster E,Days Of Heaven,Win,3.5,Lose,TRUE
Tipster E,Rule The World,Win,2.75,Lose,TRUE
Tipster E,Carrigmoorna Rock,Win,3.25,Win,TRUE
Tipster E,Hammersly Lake,Win,4.5,Lose,TRUE
Tipster E,Irving,Win,3,Win,TRUE
Tipster E,Broadway Buffalo,Win,5.5,Lose,TRUE
Tipster E,Djakadam,Win,6,Lose,TRUE
Tipster E,Earth Drummer,Win,4.5,Lose,TRUE
Tipster E,Stellar Notion,Win,2.5,Win,TRUE
Tipster E,Famousandfearless,Win,6,Lose,TRUE
Tipster E,The Tullow Tank,Win,2.87,Lose,TRUE
Tipster E,Speckled Wood,Win,6,Lose,TRUE
Tipster E,And The Man,Win,3.75,Lose,TRUE
Tipster E,Fast Scat,Win,3.5,Lose,TRUE
Tipster E,Head Spin,Win,3.25,Win,TRUE
Tipster E,Be Royale,Win,3.25,Lose,TRUE
Tipster E,Ballyvoneen,Win,6,Win,TRUE
Tipster E,Mister Bob,Win,4,Lose,TRUE
Tipster E,Gold Ingot,Win,3.5,Lose,TRUE
Tipster E,Prince Blackthorn,Win,4,Lose,TRUE
Tipster E,Bandit Country,Win,2.68,Lose,TRUE
Tipster E,Helium,Win,7.5,Lose,TRUE
Tipster E,Jigsaw Financial,Win,5.5,Win,TRUE
Tipster E,Top Of The Glas,Win,2.25,Lose,TRUE
Tipster E,Tenor,Win,3,Lose,TRUE
Tipster E,Roll The Dice,Win,5,Lose,TRUE
Tipster E,Teenage Dream,Win,5,Lose,TRUE
Tipster E,Outrath,Win,3.25,Lose,TRUE
Tipster E,Ziga Boy,Win,4,Win,TRUE
Tipster E,Vaihau,Win,3.5,Lose,TRUE
Tipster E,Kings Apollo,Win,10,Lose,TRUE
Tipster E,Go Charlie,Win,9,Lose,TRUE
Tipster E,The Cornishcowboy,Win,7,Lose,TRUE
Tipster E,In Fairness,Win,4.33,Lose,TRUE
Tipster E,Violets Boy,Win,10,Lose,TRUE
Tipster E,American Legend,Win,6,Lose,TRUE
Tipster E,Theinval,Win,3,Lose,TRUE
Tipster E,Snow Prince,Win,4.5,Lose,TRUE
Tipster E,Royal Moll,Win,4.5,Lose,TRUE
Tipster E,Cup Final,Win,2.75,Win,TRUE
Tipster E,Lord Protector,Win,4.5,Lose,TRUE
Tipster E,Vukovar,Win,9,Lose,TRUE
Tipster E,Kasbadali,Win,5,Lose,TRUE
Tipster E,Boston Bob,Win,2.75,Lose,TRUE
Tipster E,Eduard,Win,3.25,Lose,TRUE
Tipster E,Shotavodka,Win,6,Lose,TRUE
Tipster E,Foxrock,Win,6,Lose,TRUE
Tipster E,Bally Braes,Win,4,Lose,TRUE
Tipster E,Toofeeg,Win,4,Lose,TRUE
